ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
"114573","Renate Stecher (Meiner-)","F",26,170,71,"East Germany","GDR","1976 Summer",1976,"Summer","Montreal","Athletics","Athletics Women's 100 metres","Silver"
"114573","Renate Stecher (Meiner-)","F",26,170,71,"East Germany","GDR","1976 Summer",1976,"Summer","Montreal","Athletics","Athletics Women's 200 metres","Bronze"
"114573","Renate Stecher (Meiner-)","F",26,170,71,"East Germany","GDR","1976 Summer",1976,"Summer","Montreal","Athletics","Athletics Women's 4 x 100 metres Relay","Gold"
"114588","Andrew Steele","M",23,182,78,"Great Britain","GBR","2008 Summer",2008,"Summer","Beijing","Athletics","Athletics Men's 4 x 400 metres Relay","Bronze"
"114604","Willie Samuel Steele","M",25,180,73,"United States","USA","1948 Summer",1948,"Summer","London","Athletics","Athletics Men's Long Jump","Gold"
"114611","David Lee ""Dave"" Steen","M",28,185,80,"Canada","CAN","1988 Summer",1988,"Summer","Seoul","Athletics","Athletics Men's Decathlon","Bronze"
"114658","Aikaterini ""Ekaterini"" Stefanidi","F",26,173,59,"Greece","GRE","2016 Summer",2016,"Summer","Rio de Janeiro","Athletics","Athletics Women's Pole Vault","Gold"
"114710","John William Steffensen","M",21,180,71,"Australia","AUS","2004 Summer",2004,"Summer","Athina","Athletics","Athletics Men's 4 x 400 metres Relay","Silver"
"114822","Gnther Steines","M",23,174,64,"Germany","GER","1952 Summer",1952,"Summer","Helsinki","Athletics","Athletics Men's 4 x 400 metres Relay","Bronze"
"114928","Oskar Albinus ""Albin"" Stenroos","M",35,173,64,"Finland","FIN","1924 Summer",1924,"Summer","Paris","Athletics","Athletics Men's Marathon","Gold"
"114981","Helen Herring Stephens","F",18,182,70,"United States","USA","1936 Summer",1936,"Summer","Berlin","Athletics","Athletics Women's 100 metres","Gold"
"114981","Helen Herring Stephens","F",18,182,70,"United States","USA","1936 Summer",1936,"Summer","Berlin","Athletics","Athletics Women's 4 x 100 metres Relay","Gold"
"115046","Anni Steuer (-Ludewig)","F",23,177,67,"Germany","GER","1936 Summer",1936,"Summer","Berlin","Athletics","Athletics Women's 80 metres Hurdles","Silver"
"115092","Rochelle Stevens","F",25,173,58,"United States","USA","1992 Summer",1992,"Summer","Barcelona","Athletics","Athletics Women's 4 x 400 metres Relay","Silver"
"115092","Rochelle Stevens","F",29,173,58,"United States","USA","1996 Summer",1996,"Summer","Atlanta","Athletics","Athletics Women's 4 x 400 metres Relay","Gold"
"115097","William Edwards ""Bill"" Stevenson","M",23,183,77,"United States","USA","1924 Summer",1924,"Summer","Paris","Athletics","Athletics Men's 4 x 400 metres Relay","Gold"
"115115","Toby Lynn Stevenson","M",27,185,81,"United States","USA","2004 Summer",2004,"Summer","Athina","Athletics","Athletics Men's Pole Vault","Silver"
"115156","Kerron Stewart","F",24,175,61,"Jamaica","JAM","2008 Summer",2008,"Summer","Beijing","Athletics","Athletics Women's 100 metres","Silver"
"115156","Kerron Stewart","F",24,175,61,"Jamaica","JAM","2008 Summer",2008,"Summer","Beijing","Athletics","Athletics Women's 200 metres","Bronze"
"115156","Kerron Stewart","F",28,175,61,"Jamaica","JAM","2012 Summer",2012,"Summer","London","Athletics","Athletics Women's 4 x 100 metres Relay","Silver"
"115171","Raymond Douglas ""Ray"" Stewart","M",19,178,73,"Jamaica","JAM","1984 Summer",1984,"Summer","Los Angeles","Athletics","Athletics Men's 4 x 100 metres Relay","Silver"
"115290","Gerhard Karl Eduard Stck","M",25,184,91,"Germany","GER","1936 Summer",1936,"Summer","Berlin","Athletics","Athletics Men's Shot Put","Bronze"
"115290","Gerhard Karl Eduard Stck","M",25,184,91,"Germany","GER","1936 Summer",1936,"Summer","Berlin","Athletics","Athletics Men's Javelin Throw","Gold"
